FECHA;DESCRIPCION;CARGOS / DEBE;ABONOS / HABER
04SET;TRAN.CEL.BM.;10.0;0.0
04SET;DEPOSITO EFECTIVO;0.0;1000.0
04SET;IMPUESTO ITF *;0.05;0.0
05SET;TRAN.CEL.BM.;10.0;0.0
05SET;TRAN.CTAS.PROP.BM *;50.0;0.0
06SET;PITA050010091184;220.0;0.0
08SET;TRAN.CEL.BM.;10.0;0.0
11SET;TRAN.CEL.BM.;3.0;0.0
11SET;TRAN.CEL.BM.;10.0;0.0
11SET;TRAN.CTAS.PROP.BM *;50.0;0.0
19SET;TRAN.CEL.BM.;26.0;0.0
20SET;TRAN.CEL.BM.;26.0;0.0
20SET;Google One;82.93;0.0
24SET;TRAN.CTAS.PROP.BM *;20.0;0.0
26SET;TRAN.CTAS.PROP.BM *;300.0;0.0
07AGO;TRAN.CEL.BM.;247.0;0.0
07AGO;TRAN.CEL.BM.;300.0;0.0
14AGO;TRANSF.BCO.INTERBA;0.0;1000.0
14AGO;IMPUESTO ITF *;0.05;0.0
17AGO;UNIV000075432353;55.0;0.0
20AGO;Google One;517.83;0.0
21AGO;TRAN.CTAS.PROP.BM *;100.0;0.0
22AGO;TRAN.CTAS.PROP.BM *;0.0;700.0
22AGO;TRAN.CTAS.TERC.BM;986.8;0.0
22AGO;2008Google One *;0.0;517.83
26AGO;UNIV000075432353;9.4;0.0
30AGO;E S PROCERES;22.33;0.0
13JUL;TRAN.CTAS.PROP.BM *;30.0;0.0
21JUL;TRAN.CTAS.PROP.BM *;0.0;460.0
21JUL;TRAN.CTAS.PROP.BM *;0.0;100.0
21JUL;TRAN.CTAS.PROP.BM *;498.04;0.0
21JUL;TRAN.CTAS.PROP.BM *;0.0;700.0
21JUL;TRAN.CTAS.PROP.BM *;0.0;15.34
27JUL;MAPFRE PERU COMPAI;60.0;0.0
31JUL;TRAN.CEL.BM.;160.0;0.0
03JUN;TRAN.CTAS.TERC.BM;0.0;1000.0
03JUN;PITA050010091184;220.0;0.0
03JUN;IMPUESTO ITF *;0.05;0.0
07JUN;TRAN.CEL.BM.;323.0;0.0
14JUN;TRAN.CTAS.TERC.BM;0.0;1260.0
14JUN;E S PROCERES;21.46;0.0
14JUN;IMPUESTO ITF *;0.05;0.0
18JUN;TRAN.CTAS.TERC.BM;455.0;0.0
25JUN;TRAN.CTAS.PROP.BM *;0.0;4500.0
25JUN;TRAN.CTAS.PROP.BM *;0.0;281.0
25JUN;TRAN.CTAS.TERC.BM;6100.0;0.0
25JUN;TRAN.CEL.BM.;15.0;0.0
25JUN;IMPUESTO ITF *;0.3;0.0
26JUN;TRAN.CEL.BM.;30.0;0.0
30JUN;TRAN.CTAS.PROP.BM *;200.0;0.0
02MAY;TRAN.CEL.BM.;330.0;0.0
02MAY;TRAN.CEL.BM.;100.0;0.0
02MAY;TRAN.CEL.BM.;420.0;0.0
02MAY;TRANSF.BCO.SCOTIAB;0.0;1591.25
02MAY;IMPUESTO ITF *;0.05;0.0
03MAY;TRAN.CTAS.PROP.BM *;100.0;0.0
03MAY;E S PROCERES;23.72;0.0
05MAY;TRAN.CTAS.TERC.BM;0.0;1120.0
05MAY;IMPUESTO ITF *;0.05;0.0
07MAY;TRAN.CTAS.TERC.BM;0.0;1170.0
07MAY;IMPUESTO ITF *;0.05;0.0
12MAY;IZI*ALTA VIDDA GAS;23.34;0.0
13MAY;RETIRO EFECTIVO;600.0;0.0
13MAY;TRAN.CTAS.PROP.BM *;200.0;0.0
16MAY;TRAN.CTAS.PROP.BM *;50.0;0.0
17MAY;TRAN.CTAS.PROP.BM *;100.0;0.0
17MAY;TRAN.CEL.BM.INTERB;50.0;0.0
18MAY;TRAN.CTAS.TERC.BM;0.0;500.0
18MAY;TRAN.CTAS.TERC.BM;0.0;400.0
20MAY;TRAN.CTAS.PROP.BM *;100.0;0.0
20MAY;TRAN.CEL.BM.INTERB;20.0;0.0
22MAY;TRAN.CTAS.PROP.BM *;400.0;0.0
25MAY;RETIRO EFECTIVO;20.0;0.0
27MAY;TRAN.CTAS.PROP.BM *;500.0;0.0
29MAY;TRAN.CEL.BM.;200.0;0.0
29MAY;TRAN.CEL.BM.;234.0;0.0
29MAY;TRAN.CTAS.TERC.BM;830.0;0.0
31MAY;TRAN.CTAS.TERC.BM;1725.1;0.0
31MAY;IMPUESTO ITF *;0.05;0.0
08ABR;DE RED PERUANA DE *;0.0;500.0
14ABR;TRAN.CTAS.PROP.BM *;100.0;0.0
16ABR;TRAN.CTAS.PROP.BM *;500.0;0.0
22ABR;TRAN.CTAS.PROP.BM *;100.0;0.0
22ABR;TRAN.CEL.BM.;14.8;0.0
23ABR;ESTACION AYLLU;30.0;0.0
24ABR;TRAN.CTAS.PROP.BM *;100.0;0.0
28ABR;TRAN.CTAS.PROP.BM *;500.0;0.0
30ABR;WOW0020240762146;67.4;0.0
30ABR;PITA050010091184;220.0;0.0
18MAR;PITA050010091184;220.0;0.0
28MAR;PITA050010091184;102.7;0.0
11FEB;RETIRO EFECTIVO;500.0;0.0
01OCT;TRAN.CTAS.PROP.BM;40.0;0.0
02OCT;TRAN.CTAS.TERC.BM;0.0;3490.0
02OCT;TRAN.CTAS.PROP.BM;100.0;0.0
02OCT;IMPUESTO ITF - LEY;0.15;0.0
11OCT;TRAN.CTAS.TERC.BM;1714.0;0.0
11OCT;TRAN.CEL.BM.INTERB;10.0;0.0
12OCT;IMPUESTO ITF - LEY_________________;0.05;0.0
